date,volume,open,close,high,low,symbol,splitDeclaredDate,ratio,tofactor,forfactor,divPaymentDate,divRecordDate,dividend,divDeclaredDate,ratio_adj,split_factor,volume_adj,open_adj,close_adj,high_adj,low_adj,dollar_volume
2005-01-03,12362231.0,64.78,63.29,65.11,62.6,AAPL,,,,,,,,,,56.0,692284936.0,1.1567857142857143,1.1301785714285715,1.1626785714285715,1.1178571428571429,782405599.99
2005-01-04,19592738.0,63.8,63.94,65.47,62.97,AAPL,,,,,,,,,,56.0,1097193328.0,1.1392857142857142,1.1417857142857142,1.169107142857143,1.1244642857142857,1252759667.72
2005-01-05,12155876.0,64.35,64.5,65.25,64.05,AAPL,,,,,,,,,,56.0,680729056.0,1.1491071428571427,1.1517857142857142,1.1651785714285714,1.14375,784054002.0
2005-01-06,12573964.0,64.685,64.55,64.91,63.33,AAPL,,,,,,,,,,56.0,704141984.0,1.1550892857142858,1.1526785714285714,1.159107142857143,1.1308928571428571,811649376.1999999
2005-01-07,39909888.0,65.0,69.25,69.63,64.75,AAPL,,,,,,,,,,56.0,2234953728.0,1.1607142857142858,1.2366071428571428,1.243392857142857,1.15625,2763759744.0
2005-01-10,30991290.0,69.9,68.96,70.7,67.88,AAPL,,,,,,,,,,56.0,1735512240.0,1.2482142857142857,1.2314285714285713,1.2625,1.212142857142857,2137159358.3999999
2005-01-11,46693943.0,68.26,64.56,69.15,64.14,AAPL,,,,,,,,,,56.0,2614860808.0,1.2189285714285716,1.1528571428571428,1.2348214285714287,1.145357142857143,3014560960.08
2005-01-12,36222702.0,65.35,65.46,65.9,63.3,AAPL,,,,,,,,,,56.0,2028471312.0,1.1669642857142857,1.1689285714285713,1.1767857142857143,1.1303571428571428,2371138072.9199996
2005-01-13,56575611.0,73.65,69.8,74.42,69.73,AAPL,,,,,,,,,,56.0,3168234216.0,1.3151785714285715,1.2464285714285714,1.3289285714285715,1.2451785714285715,3948977647.7999997
2005-01-14,31378750.0,70.2,70.2,71.72,69.19,AAPL,,,,,,,,,,56.0,1757210000.0,1.2535714285714286,1.2535714285714286,1.2807142857142857,1.2355357142857142,2202788250.0
2005-01-18,17953804.0,69.74,70.65,70.7,69.21,AAPL,,,,,,,,,,56.0,1005413024.0,1.2453571428571428,1.261607142857143,1.2625,1.2358928571428571,1268436252.6000001
2005-01-19,13521549.0,70.49,69.88,71.46,69.75,AAPL,,,,,,,,,,56.0,757206744.0,1.2587499999999998,1.2478571428571428,1.2760714285714285,1.2455357142857142,944885844.1199999
2005-01-20,16315047.0,69.65,70.46,71.27,69.47,AAPL,,,,,,,,,,56.0,913642632.0,1.2437500000000001,1.2582142857142855,1.2726785714285713,1.2405357142857143,1149558211.62
2005-01-21,16271721.0,71.22,70.49,71.6,70.0,AAPL,,,,,,,,,,56.0,911216376.0,1.2717857142857143,1.2587499999999998,1.2785714285714285,1.25,1146993613.29
2005-01-24,15066057.0,70.98,70.76,71.78,70.55,AAPL,,,,,,,,,,56.0,843699192.0,1.2675,1.2635714285714286,1.2817857142857143,1.2598214285714284,1066074193.32
2005-01-25,17325964.0,71.41,72.05,72.84,70.94,AAPL,,,,,,,,,,56.0,970253984.0,1.2751785714285713,1.2866071428571428,1.3007142857142857,1.2667857142857142,1248335706.2
2005-01-26,13271403.0,72.68,72.25,72.75,71.22,AAPL,,,,,,,,,,56.0,743198568.0,1.297857142857143,1.2901785714285714,1.2991071428571428,1.2717857142857143,958858866.75
2005-01-27,8870664.0,72.16,72.64,72.92,71.55,AAPL,,,,,,,,,,56.0,496757184.0,1.2885714285714285,1.2971428571428572,1.3021428571428573,1.2776785714285714,644365032.96
2005-01-28,14324548.0,72.62,73.98,73.98,72.44,AAPL,,,,,,,,,,56.0,802174688.0,1.2967857142857144,1.3210714285714287,1.3210714285714287,1.2935714285714286,1059730061.0400001
